"","AbrahamSimpson","HomerSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",14515.285062,16330.137451,14408.773625,13723.299747,13388.67682
"AGRP",198556.109354,206017.34537,158315.519849,187785.805073,203735.919949
"ANKRD27",14846.826185,15711.048349,16268.915324,15777.129884,15581.469122
"ANO4",18735.496523,17733.905324,16763.329383,15997.087966,15764.752692
"BDNF",16934.127306,16947.045575,16744.970681,17357.389003,18435.122528
"CADM1",7546.056565,7864.256942,8222.667303,7911.356808,7838.974452
"CADM2",6736.891753,7375.720149,7530.48388,7267.548102,7202.997612
"CALCR",18659.606147,19642.445635,20431.830331,19860.161559,18908.976023
"CNR1",20741.967426,19699.891738,18738.971754,18277.874521,18674.145207
"CREBRF",8322.290413,5739.355833,8699.926677,9296.519421,7651.128999
"DPP9",26892.842716,24493.09562,23746.352601,19566.851837,25840.647281
"FTO",1210.916268,2562.243366,11536.025454,14690.851023,21752.259149
"GIPR",49484.959074,23820.647278,23113.359334,30221.379039,19415.610637
"GPR151",42413.155236,47116.999626,48654.896628,47763.736013,46709.811183
"GPR75",36878.615283,48680.183527,47917.092199,39056.641475,45754.611494
"KIAA0586",8159.664452,7020.823683,6835.861378,4928.090287,4134.6566
"KIAA1109",2908.622988,3426.660157,2370.473888,2667.608284,2664.82074
"KSR2",4700.386047,11586.351198,15922.235354,7300.527118,9520.640258
"LEP",9860.432672,20060.716777,24001.466869,16707.748436,22229.864314
"LEPR",43979.669178,25124.693254,5610.277017,1115.035974,1437.119844
"MC4R",9729.008805,7859.165081,88577.97893,103081.694334,85392.989207
"MRAP2",48924.929506,41784.523522,43459.881989,24426.46458,31465.20366
"NRP1",7920.87383,11579.585072,5466.511556,13168.867309,11041.685392
"NRP2",14002.439924,12585.46477,21695.5901,20632.054736,19760.297865
"NTRK2",1767.704545,3134.350092,2938.528024,2974.091286,3657.224131
"PCSK1",29150.671942,32981.646724,19782.150405,18553.306388,20904.838463
"PDE3B",21426.388277,15537.179845,26572.641908,25872.175269,18673.131734
"PHIP",2037.300258,2754.963171,2787.213344,2653.166038,5698.642132
"POMC",162051.582249,157980.251035,87040.231024,115365.450813,96882.78578
"PPARG",36656.818126,49192.43008,63112.672798,41406.249473,49585.777641
"ROBO1",4988.823647,4859.105094,2385.1082,7341.574773,6259.47889
"SH2B1",45749.45064,46799.619675,23829.807513,18945.875592,27255.840686
"SIM1",3238.518942,3277.61219,14211.528431,13571.325085,12415.87907
"SPARC",31135.944191,30503.792218,30853.468708,27662.69806,29587.875128
"TMEM18",6855.523866,7031.142319,2641.403913,4398.305147,4865.465631
"UBR2",14440.563464,17143.467437,64188.214252,58050.541214,47036.221343
"UHMK1",7839.537144,8042.134823,4623.639379,4623.518331,2874.458343
